date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2022-05-02,30460997,663838,0,6498.0,86.0,0.0,0.021336748964414093,0.012956646458315757,não informado,15011.142857142857,124.85714285714286,0.0,60.19387755102044,1.8265306122448979,0.0,subindo,subindo,estavel,2.1793048993110764,0.0,14144.643038298413,3082.548987237004
2022-05-03,30482429,663930,0,21432.0,92.0,0.0,0.07035882640348246,0.013858802900707703,não informado,14909.714285714286,117.42857142857143,0.0,137.09183673469397,1.7040816326530615,0.0,subindo,subindo,estavel,2.1780744572553585,0.0,14154.595043139123,3082.9761916254633
2022-05-04,30502501,663994,0,20072.0,64.0,0.0,0.06584777085841814,0.009639570436642417,não informado,14785.285714285714,92.0,0.0,25.122448979591745,-1.13265306122449,0.0,subindo,descendo,estavel,2.1768510064141955,0.0,14163.915528449066,3083.273377287
2022-05-05,30524183,664131,0,21682.0,137.0,0.0,0.07108269580910759,0.020632716560691815,não informado,15037.57142857143,95.28571428571429,0.0,88.34693877551022,-0.4183673469387748,0.0,subindo,descendo,estavel,2.1757535656236895,0.0,14173.983621438812,3083.9095403437263
2022-05-06,30543908,664326,0,19725.0,195.0,0.0,0.06462089419395763,0.02936167713899818,não informado,15838.0,96.71428571428571,0.0,198.6836734693878,0.2959183673469385,0.0,subindo,subindo,estavel,2.174986907372822,0.0,14183.142976397892,3084.815027906221
2022-05-07,30558530,664361,0,14622.0,35.0,0.0,0.04787206666547057,0.00526849769540858,não informado,15756.285714285714,89.28571428571429,0.0,148.60204081632648,-0.4591836734693869,0.0,subindo,descendo,estavel,2.174060728706518,0.0,14189.932740058812,3084.977551314874
2022-05-08,30564536,664374,0,6006.0,13.0,0.0,0.019654086763990282,0.001956767480330724,não informado,15719.57142857143,88.85714285714286,0.0,134.61224489795924,-0.632653061224489,0.0,subindo,descendo,estavel,2.17367605384227,0.0,14192.721641751294,3085.0379171523737
2022-05-09,30574245,664426,0,9709.0,52.0,0.0,0.03176557301573301,0.00782691676676089,não informado,16178.285714285714,84.0,0.0,187.92857142857142,-1.0714285714285714,0.0,subindo,descendo,estavel,2.1731558702430753,0.0,14197.230041107325,3085.279380502372
2022-05-10,30594388,664624,0,20143.0,198.0,0.0,0.06588224827792151,0.029800158332154374,não informado,15994.142857142857,99.14285714285714,0.0,93.03061224489791,-0.18367346938775495,0.0,subindo,descendo,estavel,2.1723722664431135,0.0,14206.583495451594,3086.198798642751
2022-05-11,30617786,664750,0,23398.0,126.0,0.0,0.07647807826716456,0.01895808758034618,não informado,16469.285714285714,108.0,0.0,288.26530612244886,0.6632653061224494,0.0,subindo,subindo,estavel,2.1711236730180294,0.0,14217.448417496336,3086.7838829139014
2022-05-12,30639130,664874,0,21344.0,124.0,0.0,0.06971111497088653,0.018653629183903724,não informado,16421.0,106.14285714285714,0.0,272.0,0.30612244897959123,0.0,subindo,subindo,estavel,2.170015924081395,0.0,14227.359559308583,3087.3596801331287
2022-05-13,30664739,665012,0,25609.0,138.0,0.0,0.08358266047371449,0.020755812379488443,não informado,17261.571428571428,98.0,0.0,270.26530612244886,-1.6428571428571428,0.0,subindo,descendo,estavel,2.1686537100478827,0.0,14239.251164943415,3088.000486715817
2022-05-14,30682094,665104,0,17355.0,92.0,0.0,0.05659594885187185,0.013834336823997161,não informado,17652.0,106.14285714285714,0.0,215.67346938775503,-1.4081632653061231,0.0,subindo,descendo,estavel,2.1677268833085512,0.0,14247.310004249617,3088.427691104276
2022-05-15,30688390,665150,0,6296.0,46.0,0.0,0.020520111828091003,0.006916211599990377,não informado,17693.428571428572,110.85714285714286,0.0,192.0204081632654,-0.86734693877551,0.0,subindo,descendo,estavel,2.16743204840658,0.0,14250.233568194984,3088.641293298506
2022-05-16,30701900,665216,0,13510.0,66.0,0.0,0.04402316315714184,0.00992257385552131,não informado,18236.428571428572,112.85714285714286,0.0,230.37755102040825,-0.8571428571428571,0.0,subindo,descendo,estavel,2.166693266540507,0.0,14256.506971768984,3088.947766011965
2022-05-17,30701900,665216,0,0.0,0.0,0.0,0.0,0.0,não informado,15358.857142857143,84.57142857142857,0.0,32.081632653061206,-2.3469387755102042,0.0,subindo,descendo,estavel,2.166693266540507,0.0,14256.506971768984,3088.947766011965
2022-05-18,30701900,665216,0,0.0,0.0,0.0,0.0,0.0,não informado,12016.285714285714,66.57142857142857,0.0,-197.78571428571428,-1.8163265306122451,0.0,descendo,descendo,estavel,2.166693266540507,0.0,14256.506971768984,3088.947766011965
