date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d
2021-08-30,20758350,579883,0,12801.0,318.0,0.0,0.06170480231687289,0.05486873776021672,não informado,23925.428571428572,665.7142857142857,0.0,-342.23469387755097,-13.02040816326531,0.0,descendo,descendo,estavel
2021-08-31,20785196,580764,0,26846.0,881.0,0.0,0.12932627111499712,0.15192719910740615,não informado,23216.428571428572,668.8571428571429,0.0,-429.04081632653055,-11.020408163265301,0.0,descendo,descendo,estavel
2021-09-01,20810944,581461,0,25748.0,697.0,0.0,0.12387662834644428,0.12001432595684307,não informado,22612.0,641.7142857142857,0.0,-520.4591836734695,-12.397959183673477,0.0,descendo,descendo,estavel
2021-09-02,20837967,582243,0,27023.0,782.0,0.0,0.12984994818111087,0.13448881352317696,não informado,22054.85714285714,629.0,0.0,-561.8367346938776,-13.377551020408166,0.0,descendo,descendo,estavel
2021-09-03,20861571,582983,0,23604.0,740.0,0.0,0.11327400604867068,0.12709470100971587,não informado,21461.714285714286,617.8571428571429,0.0,-616.6326530612243,-14.193877551020405,0.0,descendo,descendo,estavel
2021-09-04,20881896,583621,0,20325.0,638.0,0.0,0.09742794538340377,0.10943715339898419,não informado,21087.14285714286,619.1428571428571,0.0,-602.7755102040816,-11.030612244897961,0.0,descendo,descendo,estavel
2021-09-05,20894557,583892,0,12661.0,271.0,0.0,0.06063146756405645,0.04643424414131774,não informado,21286.85714285714,618.1428571428571,0.0,-590.326530612245,-10.530612244897961,0.0,descendo,descendo,estavel
2021-09-06,20904729,584112,0,10172.0,220.0,0.0,0.04868253488217051,0.03767820076315483,não informado,20911.285714285714,604.1428571428571,0.0,-591.2755102040818,-11.56122448979592,0.0,descendo,descendo,estavel
2021-09-07,20918333,584439,0,13604.0,327.0,0.0,0.06507618443654543,0.055982414331498066,não informado,19019.571428571428,525.0,0.0,-652.9591836734695,-14.816326530612246,0.0,descendo,descendo,estavel
2021-09-08,20932515,584688,0,14182.0,249.0,0.0,0.06779698936812986,0.042604959627950904,não informado,17367.285714285714,461.0,0.0,-666.9795918367347,-18.33673469387755,0.0,descendo,descendo,estavel
