date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,casos_recuperados,crescimento_casos,crescimento_mortes,crescimento_recuperacoes,casos_7d,mortes_7d,recuperacao_7d
2022-08-25,599699548,6483907,0,865005.0,2957.0,0.0,0.14444808004337184,0.045626027048503694,0.0,744330.5714285715,2298.1428571428573,0.0
2022-08-26,600401903,6486436,0,702355.0,2529.0,0.0,0.11711781380232089,0.03900426085691852,0.0,730171.5714285715,2271.8571428571427,0.0
2022-08-27,600854582,6487647,0,452679.0,1211.0,0.0,0.07539599687111585,0.018669728646054626,0.0,712778.8571428572,2274.714285714286,0.0
2022-08-28,601260827,6488670,0,406245.0,1023.0,0.0,0.06761120114084443,0.015768428830976778,0.0,701594.7142857143,2175.0,0.0
2022-08-29,601837965,6490683,0,577138.0,2013.0,0.0,0.09598795964800148,0.0310233067793554,0.0,682449.4285714285,2259.5714285714284,0.0
2022-08-30,602585861,6493182,0,747896.0,2499.0,0.0,0.12426866424088084,0.03850134107612404,0.0,662269.8571428572,2198.285714285714,0.0
2022-08-31,603339040,6496550,0,753179.0,3368.0,0.0,0.1249911504312578,0.05186979203724768,0.0,643499.5714285715,2228.5714285714284,0.0
2022-09-01,604018804,6499102,0,679764.0,2552.0,0.0,0.11266700063035867,0.0392823883445829,0.0,617036.5714285715,2170.714285714286,0.0
2022-09-02,604676287,6501819,0,657483.0,2717.0,0.0,0.10885141251330978,0.04180577562869455,0.0,610626.2857142857,2197.5714285714284,0.0
2022-09-03,605052969,6502896,0,376682.0,1077.0,0.0,0.06229481924433395,0.016564595230965366,0.0,599769.5714285715,2178.4285714285716,0.0
2022-09-04,605423358,6504007,0,370389.0,1111.0,0.0,0.06121596273003331,0.017084695803223672,0.0,594647.2857142857,2191.0,0.0
2022-09-05,605881148,6505453,0,457790.0,1446.0,0.0,0.07561485594349995,0.02223244839681138,0.0,577597.5714285715,2110.0,0.0
2022-09-06,606554997,6507768,0,673849.0,2315.0,0.0,0.11121801729998702,0.03558553109214685,0.0,567019.4285714285,2083.714285714286,0.0
2022-09-07,607171546,6509944,0,616549.0,2176.0,0.0,0.10164766641927443,0.03343696333366524,0.0,547500.8571428572,1913.4285714285713,0.0
2022-09-08,607755506,6512183,0,583960.0,2239.0,0.0,0.09617710247574744,0.03439353702581773,0.0,533814.5714285715,1868.7142857142858,0.0
2022-09-09,608281134,6514478,0,525628.0,2295.0,0.0,0.086486752454037,0.03524163863331236,0.0,514978.14285714284,1808.4285714285713,0.0
2022-09-10,608594366,6515421,0,313232.0,943.0,0.0,0.05149461038520389,0.014475449913254753,0.0,505913.85714285716,1789.2857142857142,0.0
2022-09-11,608908659,6516207,0,314293.0,786.0,0.0,0.051642443236157076,0.012063687058748775,0.0,497900.14285714284,1742.857142857143,0.0
2022-09-12,609393741,6517720,0,485082.0,1513.0,0.0,0.07966416519624497,0.023219029106963607,0.0,501799.0,1752.4285714285713,0.0
2022-09-13,609942218,6519702,-1,548477.0,1982.0,-1.0,0.09000371403552043,0.030409406970535707,-inf,483888.71428571426,1704.857142857143,-0.14285714285714285
2022-09-14,610640243,6522032,-1,698025.0,2330.0,0.0,0.11444116826161393,0.03573782973516274,-0.0,495528.14285714284,1726.857142857143,-0.14285714285714285
2022-09-15,611251541,6524602,-1,611298.0,2570.0,0.0,0.1001077159600174,0.03940489712408648,-0.0,499433.5714285714,1774.142857142857,-0.14285714285714285
2022-09-16,611707437,6526611,-1,455896.0,2009.0,0.0,0.07458402464788223,0.03079115017283813,-0.0,489471.85714285716,1733.2857142857142,-0.14285714285714285
2022-09-17,612002534,6527461,-1,295097.0,850.0,0.0,0.04824152562984125,0.013023604440344307,-0.0,486881.14285714284,1720.0,-0.14285714285714285
2022-09-18,612257111,6528049,-1,254577.0,588.0,0.0,0.04159737678471769,0.009008096716318949,-0.0,478350.28571428574,1691.7142857142858,-0.14285714285714285
2022-09-19,612673963,6529431,-1,416852.0,1382.0,0.0,0.06808446851995811,0.021170184231153903,-0.0,468603.14285714284,1673.0,-0.14285714285714285
2022-09-20,613227572,6531261,-1,553609.0,1830.0,0.0,0.09035947884731638,0.028026944461163612,-0.0,469336.28571428574,1651.2857142857142,0.0
2022-09-21,613745750,6533318,0,518178.0,2057.0,1.0,0.08450011442081734,0.031494683798427285,-100.0,443643.85714285716,1612.2857142857142,0.14285714285714285
2022-09-22,614365390,6535513,0,619640.0,2195.0,0.0,0.10096037324902045,0.03359701762565361,0.0,444835.5714285714,1558.7142857142858,0.14285714285714285
2022-09-23,614883451,6537341,0,518061.0,1828.0,0.0,0.08432457433840797,0.027970260329984807,0.0,453716.28571428574,1532.857142857143,0.14285714285714285
2022-09-24,615148616,6538177,0,265165.0,836.0,0.0,0.04312443269838466,0.012788073927916564,0.0,449440.28571428574,1530.857142857143,0.14285714285714285
2022-09-25,615371539,6538685,0,222923.0,508.0,0.0,0.03623888507618783,0.007769749885939154,0.0,444918.28571428574,1519.4285714285713,0.14285714285714285
2022-09-26,615794219,6540058,0,422680.0,1373.0,0.0,0.06868695953778908,0.020998105888263466,0.0,445750.85714285716,1518.142857142857,0.14285714285714285
2022-09-27,616393758,6541661,0,599539.0,1603.0,0.0,0.09736028392302917,0.024510485992631868,0.0,452312.28571428574,1485.7142857142858,0.14285714285714285
2022-09-28,616943716,6544003,0,549958.0,2342.0,0.0,0.08922186392419633,0.03580130489794565,0.0,456852.28571428574,1526.4285714285713,0.0
2022-09-29,617587849,6546289,0,644133.0,2286.0,0.0,0.1044070931099329,0.03493274682178477,0.0,460351.28571428574,1539.4285714285713,0.0
2022-09-30,618060372,6547762,0,472523.0,1473.0,0.0,0.07651105842919523,0.022501298063681573,0.0,453845.85714285716,1488.7142857142858,0.0
2022-10-01,618301429,6548432,0,241057.0,670.0,0.0,0.039002176958855404,0.010232503869260978,0.0,450401.85714285716,1465.0,0.0
2022-10-02,618502138,6548998,0,200709.0,566.0,0.0,0.03246135146810408,0.008643290485416968,0.0,447228.4285714286,1473.2857142857142,0.0
2022-10-03,618822004,6550361,0,319866.0,1363.0,0.0,0.0517162319008831,0.020812344117374905,0.0,432540.71428571426,1471.857142857143,0.0
2022-10-04,619422193,6551963,0,600189.0,1602.0,0.0,0.096988955809658,0.024456667350089563,0.0,432633.5714285714,1471.7142857142858,0.0
2022-10-05,620005197,6554150,0,583004.0,2187.0,0.0,0.09412061863272632,0.03337930937644184,0.0,437354.4285714286,1449.5714285714287,0.0
2022-10-06,620645800,6556162,0,640603.0,2012.0,0.0,0.1033221984427979,0.030698107306057994,0.0,436850.14285714284,1410.4285714285713,0.0
2022-10-07,621221027,6557961,0,575227.0,1799.0,0.0,0.09268200960999011,0.02743983446412703,0.0,451522.14285714284,1457.0,0.0
2022-10-08,621440044,6558674,0,219017.0,713.0,0.0,0.03525588968835725,0.01087228179612535,0.0,448373.5714285714,1463.142857142857,0.0
2022-10-09,621658996,6559308,0,218952.0,634.0,0.0,0.03523300471444998,0.009666588093873853,0.0,450979.71428571426,1472.857142857143,0.0
2022-10-10,622112629,6560625,0,453633.0,1317.0,0.0,0.0729713561484438,0.020078337531946967,0.0,470089.28571428574,1466.2857142857142,0.0
